ID,Date,Media,Title,Article,Summary
18,7 months ago,The Irish Sun,"What is a sex doll, are there sex robot brothels in Paris and Italy and how much do they cost?","ROBOT ROMPS What is a sex doll, are there sex robot brothels in Paris and Italy and how much do they cost?

ROBOT sex dolls are increasingly big business and manufacturers are claiming their products are so lifelike people are even marrying them.

The UK's first sex doll brothel opened earlier this year - though in Italy one was shut down. Here's everything you need to know about the growing phenomenon.

4 This sex robot has been branded the Bugatti Veyron of virtual reality Credit: SWNS:South West News Service

What are sex robots?

Robots already build our cars, clean our houses and make our food – now manufacturers are offering life-like, moving dolls for “private fun”.

Sex robots are essentially realistic dolls that have sophisticated movements that closely mimic humans so that they can romp.

Sex bots are hyper-realistic with features such as built-in heaters to create the feeling of body warmth.

They also have sensors to react to your touch.

One company is even developing a head that can speak, smile and sing for its robot sex dolls, while sex doll Harmony is the first to offer an ""emotional connection"".

Experts say these specialised robots will start to appear in ordinary homes in the next decade, as lonely humans look for love.

4 New singing heads can be attached to the company's saucy robot bodies Credit: SWNS:South West News Service

Who is Samantha the sex robot?

Samantha is one of the hyper-realistic dolls to be released into the growing market of lifelike sex dolls.

Sergi Santos, the designer of the love machine Samantha, said the amorous android was so erotic that men were already developing real feelings for her.

Makers claim she can be ""seduced"" as she comes complete with sensors in her face, hands, breasts and ""the female genitals down below"" so requires a more subtle approach than her forebears.

The doll's creator even says she can spot nice people, because she has a ""moral code"".

What is the sex doll brothel in Paris and why have women been replaced with blow up dolls?

A sex doll brothel was opened in Paris in February 2018, for randy punters who prefer romping with plastic instead of real women.

The sex club has several rooms and customers are offered the services of a silicone model instead of a prostitute.

Pictures from inside show four different dolls of different shapes, colours and sizes dressed in skimpy lingerie while the rooms are adorned with images of other sex robots.

It comes after Britain's first ""sex doll brothel"" opened - where customers are offered a ""try before you buy"" service on an industrial estate in Gateshead.

In September 2018, a sex robot brothel in Italy was shut down by police less than two weeks after it opened.

Lumidolls' bordello in Turin was closed after alleged infringements of property law, Italian media reported.

4 Sex robot Samantha has sensors in her face, hands, breasts and 'the female genitals down below'

How much is a sex robot?

Personalised sex robots can cost tens of thousands of pounds.

However much cheaper models are also available in the growing market.

As the technology is more widely used, the price of sex robots is expected to fall increasing their use.

This parlour in London will set you back £50 for half an hour with one doll, while two hours costs £130.

Are people really marrying them and can the dolls 'cheat'?

According to RealDoll, a company behind a range of startlingly lifelike sex robots, the futuristic lovers are actually saving the lives of the lonely men who wed them.

A spokesperson for the company said the most popular use for the bots is still as a purely sexual partner.

But they added: ""There are many reasons we have heard from our customers, ranging from the sexual aspect to a domestic partner to art pieces enjoyed simply for their beauty.

""While we believe we provide a product that has many applications we are sometimes astounded at the impact we make on some customer’s lives.

""We have had customers marry their dolls, say that we had saved their lives because they felt like they had nothing to live for after the death of a spouse or the end of a relationship.""

Robotics psychologist Rebekah Rousi has said: ""We have to consider if robots will have their own sexual desires and what will motivate these desires.

“If the end goal is to create autonomous robots that are capable of independent thinking and feeling, the chances of humans maintaining power within these relationships is quite marginal.”

A study also found that, if robots are programmed to see sex as a ""beneficial"" resource, they could begin to seek it out themselves without notifying their partners, in a sense, cheating.

4 Sex doll Harmony is able to talk and can remember details about her man Credit: @abyssrealdoll : Instagram

Can the sex robots do chores?

Chinese sex doll makers have created a robot that will laugh at your jokes – and even wash your dishes.

The creation is powered by an artificial intelligence and also functions as a love doll that humans can have sex with.

It's the latest product from Dalian, China-based firm EXDOLL, who say she is designed to work just like the Amazon Alexa digital assistant, or Apple's Siri smart speaker.

The sex robot will use built-in microphones to listen to what you say, and will be able to tell when you're joking, prompting a laughter response.

The end goal is to have her perform household chores too, like turning the dishwasher on.

But its creators say one of her main uses will be simply to provide physical comfort to owners.

What do the experts say?

Some experts have warned we’ll need to be careful we don’t get addicted to artificial intelligence love making.

Futurologist Dr Ian Pearson believes women will be ditching men for robots when they want to get frisky in 10 years’ time… and could ever start falling in love with the machines.

In fact, he reckons by 2050 robot sex will have eclipsed human love-making all together.

Sexologist Lev Shcheglov has concerns about the future of the industry saying cyborg sex poses a serious danger to humans.

He told Sputnik: “Sex with a robot is just a fake imitation. And it can lead to psychopathic disorders and isolation.

“Sex with robots won’t bring into a person’s life the emotion effect that gives us a true communion.

“You can eat pseudo-food to still hunger. But over time it will still end badly.”

Experts have warned sex addiction to robot sex dolls could become a serious issue.

“It would just be another way of expressing sexual activity or addiction,” he explained.

“Sex addiction is a way to anaesthetise hard to bear feeling states...These include, but are not limited to, loneliness, shame, boredom, and stress.","ROBOT ROMPS What is a sex doll, are there sex robot brothels in Paris and Italy and how much do they cost?
The UK's first sex doll brothel opened earlier this year - though in Italy one was shut down.
4 This sex robot has been branded the Bugatti Veyron of virtual reality Credit: SWNS:South West News ServiceWhat are sex robots?
4 Sex robot Samantha has sensors in her face, hands, breasts and 'the female genitals down below'How much is a sex robot?
But over time it will still end badly.”Experts have warned sex addiction to robot sex dolls could become a serious issue."
19,3 months ago,ABC7 San Francisco,Page Not Found | abc7news.com,"The page you requested was not found. You may have followed an old link or typed the address incorrectly.

We've also been doing some house cleaning so the page may have been moved or removed.

Please try searching for what you are looking for or you could go to the home page and start from there. Or you may be interested in today's top stories.","The page you requested was not found.
You may have followed an old link or typed the address incorrectly.
We've also been doing some house cleaning so the page may have been moved or removed.
Please try searching for what you are looking for or you could go to the home page and start from there.
Or you may be interested in today's top stories."
20,5 months ago,The US Sun,You can buy a VIRTUAL sex robot right now for less than a tenner online,"A VIRTUAL sex robot could be yours – if you're willing to fork out $9.90 (about £7) for the app.

Harmony AI lets randy gadget fans customise their sex robot's appearance, voice and even their personality.

8 The app lets you create your own virtual sex robot Credit: Realbotix

You can then use the app to build a relationship with the sex-bot, voice-chatting as if the robot was real.

The saucy 18+ app is actually built by Realbotix, a sex robot company owned by Californian love doll giant RealDoll.

The app itself is designed to power the mechanical head of the Harmony sex robot.

But you can download the app right now – without actually paying for a pricey sex-bot.

8 Users can customise various traits of the virtual sex robot Credit: Realbotix

8 It's possible to adjust bust size on the virtual sex robot Credit: Realbotix

The app is subscription-based, so you have to pay a minimum of $9.90 for three months access. Alternatively, you can buy an entire year's membership for $24.90 (~£19).

So how does it work?

You can create one, or multiple, Harmony avatars, which are virtual representations of an artificial intelligence.

Users can then change Harmony's hair, face and body – even increasing the virtual droid's bust size.

There's a range of outfits available to choose ""from everyday clothes to elegant ones for special occasions"".

Next users choose a voice: Harmony has largely been marketed with a Scottish accent, but there are lots of voices available.

Once this avatar is built, you'll be able to customise her personality. You can assign different traits to her across 10 characteristics.

For instance, you can make her more sex-focused (so she'll flirt regularly), or have her constantly cracking jokes.

8 The app powers the real-life Harmony sex robot Credit: Realbotix

8 The Harmony sex robot head will cost you around $8,000 Credit: Realbotix

8 Harmony can speak to you, and even learn about you Credit: Realbotix

8 Harmony buyers can customise the doll's facial appearance and hair style Credit: Rex Features

When you're done, you'll be able to interact with her.

If you're nice to her, she'll eventually warm to you and become more friendly.

She'll also remember things from previous conversations, as if she's getting to know you.

It's the same software used to power Realbotix's sex-bot heads, which can be attached to love dolls to create eerily lifelike sex robots.

That means that if you ever bought a Harmony robotic head, you could connect it to the app and carry on chatting away to the exact same AI lover.

The app is only available for Android at the moment, but Realbotix says that an iOS version is in the works.

Unsurprisingly, the app isn't available on the Google Play Store. You'll have to download it from the official Realbotix website instead.

8 Psychologists have raised concerns about the potentially damaging effects of realistic sex robots on society Credit: Realbotix

If you want a Harmony robotic head however, it'll cost you far more than the $9.90 app price.

You'll have to fork out a minimum payment of $7,999 (around £6,000) – with orders requiring a hefty $2,000 deposit.

Before your sex robot ships, you'll be able to finalise options for the head, including ""face type, skin tone, eye colour and make-up options"".

The delivery will include a head (comprised of a fake skull and electronic parts), plus a silicon face, a silicon mouth and teeth that can be removed and washed, and mechanised neck and eye systems.

You'll have to buy the body separately from RealDoll however, which will set you back several thousand pounds on top.

Sex-bot virginity on sale at robot brothel – but it'll cost you $10,000

Just last week, The Sun revealed a funding campaign for the world's first ""consensual"" sex robot brothel.

The brothel would have a cafe area where punters could get to know the dirty droids – before heading behind closed doors for some bot-bonking action.

The sex robots are to be powered by the Harmony AI app, so you could bring your own version of Harmony along with you to the brothel.

Unsurprisingly, the rise of sex dolls has some people worried.

In July, psychology experts warned that sex robots could fuel a rise in sex addiction.

Dr Birchard, who serves as the clinical director of the Marylebone Centre for Psychological Therapies, recently told the Daily Star they serve the same purpose as alcohol for people with drinking problems.

“It would just be another way of expressing sexual activity or addiction,” he explained.

“Sex addiction is a way to anaesthetise hard to bear feeling states...These include, but are not limited to, loneliness, shame, boredom, and stress.""

And experts recently expressed concern that the rising popularity of sex robots risked turning Japanese people into ""an endangered species"".

The warning came after a study linked rising sex doll ownership to declining birth rates in certain areas of Japan.

Are you tempted by sex robots? Do you think they'll take over the world? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online news team? Email us at tips@the-sun.co.uk or call 0207 782 4368 . We pay for videos too. Click here to upload yours.","A VIRTUAL sex robot could be yours – if you're willing to fork out $9.90 (about £7) for the app.
8 The app lets you create your own virtual sex robot Credit: RealbotixYou can then use the app to build a relationship with the sex-bot, voice-chatting as if the robot was real.
8 Users can customise various traits of the virtual sex robot Credit: Realbotix8 It's possible to adjust bust size on the virtual sex robot Credit: RealbotixThe app is subscription-based, so you have to pay a minimum of $9.90 for three months access.
Sex-bot virginity on sale at robot brothel – but it'll cost you $10,000Just last week, The Sun revealed a funding campaign for the world's first ""consensual"" sex robot brothel.
In July, psychology experts warned that sex robots could fuel a rise in sex addiction."
21,7 months ago,The US Sun,Sex robot reviews and ‘unboxing’ videos are latest bizarre YouTube trend,"YOUTUBE has seen many strange trends over the years but sex robot reviews has to be one of the most bizarre.

Unboxing and review videos of the human-sized sex toys are accumulating on the website, which is well known for things like gadget reviews and reveals.

5 There are lots of sex doll reviews and unboxing videos on YouTube Credit: YouTube

The Sex Doll Channel has several videos about sex doll unboxing, each with thousands of views.

One of them is called ""WM 161cm B cup Doll Unboxing"" and features a presenter explaining the 'best' way to unbox a sex doll to avoid back injuries.

He explains that lifting the legs first is ""standard procedure"".

He then stands up on the bed where the box is and puts his elbows to his knees to support his back as he lifts the doll out of the box.

5 There are several YouTube channels dedicated to sex dolls Credit: YouTube / The Sex Doll Channel

The dolls appear to be quite heavy and are often sent without their heads attached.

The fairly disturbing video continues with the presenter showing every aspect of the dolls body and showing off its different wigs.

Another video called ""Sex Stuff | A.I. Sex Doll Review"" features sex educator Zoe Ligon.

She meets a male doll that's capable of answering questions like ""What is your favourite food?"" and ""Can I kiss you?""

She then 'tests out' the doll called Henry and seems fairly impressed, although did note that without heat it felt like kissing a cold unresponsive body.

Ligon also notes that sex dolls can cost tens of thousands of pounds and are quite heavy.

5 This sex doll had flesh coloured teeth Credit: YouTube / The Sex Doll Channel

She concludes: ""The world might be burning but at least there is beautiful sex dolls in it.""

A lot of the comments under the videos appear to be positive but some users make derogatory and offensive comments about women whilst others are outraged by the whole concept.

One user commented underneath the ""WM 161cm B cup Doll Unboxing"" video ""Feminists keep reporting you? I'm not surprised.""

To which The Sex Doll Channel replied: ""It's terrible. It will probably really hurt my income for a while but it's ok.

""I'm not going to let some losers keep us from spreading the truth. Thanks for watching!""

5 Sex robot owners can dress up their dolls to help give them personalities

5 Some of the unboxing videos have an impressive amount of views Credit: YouTube

Another wrote: ""This creeps me out, I’d have a heart attack if I’d see this one in my house + is sick.""

Most of the YouTube videos have a warning which reads: ""This video may be inappropriate for some users.""

There is the also the added precaution that you have to click a button to say you wish to proceed before you can view the content.

What is a sex robot? Robots already build our appliances, clean our homes and make our food – but now they're about to change how we get jiggy. Sex robots are essentially realistic dolls that have sophisticated movements and ""areas"" that closely mimic humans so that they can romp. Prof Noel Sharkey, chairman of the Foundation for Responsible Robotics, said guilt-free threesomes was just one of the potential uses for sex robots. Others include “teledildonics” - wireless technology which allows a person to stimulate their partner remotely and already exists in vibrators on the market. Sex bots will become hyper-realistic with features such as built-in heaters to create the feeling of body warmth. They will also have sensors to react to your touch. One company is even developing a head that can speak, smile and sing for its robot sex dolls. Sex doll Harmony claims to be the first to offer an ""emotional connection"". Experts say these specialised robots will start to appear in ordinary homes in the next decade.

In other news, a bizarre AI sex system lets you use Fitbit to track calories burned while ‘romping with virtual girlfriends’.

A robotic dildo sparked chaos at a tech conference earlier this year after organisers banned the ""immoral"" sex toy despite it winning a prestigious award.

And, a popular sex robot called Harmony has a saucy Scottish accent and privates that self-lubricate.

What do you think of the sex robot review videos? Let us know in the comments...

We pay for your stories! Do you have a story for The Sun Online Tech & Science team? Email us at tech@the-sun.co.uk","YOUTUBE has seen many strange trends over the years but sex robot reviews has to be one of the most bizarre.
5 There are lots of sex doll reviews and unboxing videos on YouTube Credit: YouTubeThe Sex Doll Channel has several videos about sex doll unboxing, each with thousands of views.
5 There are several YouTube channels dedicated to sex dolls Credit: YouTube / The Sex Doll ChannelThe dolls appear to be quite heavy and are often sent without their heads attached.
5 This sex doll had flesh coloured teeth Credit: YouTube / The Sex Doll ChannelShe concludes: ""The world might be burning but at least there is beautiful sex dolls in it.""
One company is even developing a head that can speak, smile and sing for its robot sex dolls."
22,8 months ago,inkl,"Lifelike sex robots that walk, talk and 'breathe' could soon go on sale","While sex robots were once confined to science fiction, they’re now very much a reality - and they’re getting more and more lifelike.

Now, one sex robot firm has claimed that it’s creating a sex robot that can ‘breathe’, as well as walk and talk.

Cloud Climax, UK agent for AI-AITech, says that it’s adapting its ‘Emma’ sex robot, so she’s even more human-like.","While sex robots were once confined to science fiction, they’re now very much a reality - and they’re getting more and more lifelike.
Now, one sex robot firm has claimed that it’s creating a sex robot that can ‘breathe’, as well as walk and talk.
Cloud Climax, UK agent for AI-AITech, says that it’s adapting its ‘Emma’ sex robot, so she’s even more human-like."
23,8 months ago,The Next Web,This unsettling DIY ‘skin’ interface will definitely end up on a sex robot,"Welcome to the Mariana Trench of uncanny valleys. A team of researchers led by engineer Marc Teyssier recently developed a ‘human skin’ interface that allows you to control your phone by stroking, pinching, and tickling its fleshy backside.

Called ‘Skin-On,’ the silicone-molded faux flesh was developed as a novel method of human-computer-interface. The idea, according to the team’s research paper, is to push the bounds of intuitive interactivity:

There is a long history of research into the design of artificial skin in the field of Robotics, either to help with environment exploration, or to endow robots with human-like sensing capabilities. Artificial skin is however usually designed with aesthetic and safety requirements in mind, rather than for harvesting interactive properties of the skin that are specifically useful for human-computer interaction. Our work contributes towards this direction.

Grabbing, pulling, and manipulating stretchy flesh may not be the most appealing way to work a smartphone, but it’s more of a proof-of-concept for bolder ideas. Though, who wouldn’t want to tickle their phone to clear notifications or pinch it to hang up a call?

And, best of all, you can actually make it yourself. The researchers used a silicone substance called Dragon Skin to create the realistic texture. Teyssier outlines the process on his blog:

Credit: Marc Teyssier

Creating the top textured layer. The epidermis layer is built by pouring DragonSkin silicone with beige pigments on a skin-like texture mold.

Positioning the electrodes. Once cured, the top layer is positioned on a pane, with the texture facing down. I used conductive threads (Datastretch) placed in a perpendicular grid on top of the artificial epidermis to form the electrodes.

Adding hypodermis. We prepare a rectangular mold of the size of the desired artificial skin and place it on top of the sensing layer. The hypodermis viscous silicone layer of Ecoflex Gel is poured inside the mold to reach the desired fat thickness, i.e. 10mm in this example.

Connecting electronics. The electrodes are then connected, i.e. they are soldered to the hardware sensing platform.

Shaping the Skin-On. To improve the visual appearance of the interface, the excess of silicone can be trimmed before being folded around the side of the hypodermis layer and glued with silicone glue. Paint or makeup can be added to shade the artificial skin with flesh like tonal variation, thus increasing anthropomorphism.

This isn’t the first ‘robot flesh’ we’ve heard of. There are several ‘smart skin‘ technologies out there in the wild, especially in the ‘sex robot’ domain. But nearly all of those are just fake flesh with pressure sensors. The difference between a robot ‘sensing’ touch and one that has interactive flesh is huge. An iPad can sense touch, but a robot that knows when and where you’re tickling or pinching it is an entirely different thing.

Of course, there’s certainly uses for this technology in the field of robotics that go beyond the sex industry. Robots that ‘feel’ injury or replicate pain could revolutionize industrial safety testing. And home service robots might seem more like members of the family if they respond appropriately to physical interactions like a pat on the back or a friendly touch on the elbow.","Artificial skin is however usually designed with aesthetic and safety requirements in mind, rather than for harvesting interactive properties of the skin that are specifically useful for human-computer interaction.
We prepare a rectangular mold of the size of the desired artificial skin and place it on top of the sensing layer.
The hypodermis viscous silicone layer of Ecoflex Gel is poured inside the mold to reach the desired fat thickness, i.e.
Paint or makeup can be added to shade the artificial skin with flesh like tonal variation, thus increasing anthropomorphism.
The difference between a robot ‘sensing’ touch and one that has interactive flesh is huge."
24,9 months ago,The Irish Sun,"Sex robots will be ‘difficult to tell apart from humans’ after AI upgrade, says sexbot boss","LOVE MACHINE Sex robots will be ‘difficult to tell apart from humans’ after AI upgrade, says sexbot boss

SEX robots will be difficult to tell apart from humans after an AI upgrade, an industry expert has said.

Brent Lawson, 1AM Dolls President, believes that AI is evolving so rapidly that sex robots will match humans for their realism within years.

2 Sex robots will be hard to tell apart from humans in the coming years, an expert has said Credit: iamdollusa.com

2 AI technology is rapidly evolving Credit: iamdollusa.com

Mr Lawson's company currently offers more than 30 bodies and 100 different face options.

He also gives customers the option to customise female, male or transgender dolls before they build their ""fantasy partner"" for them.

He told The Daily Star Online: ""In my opinion, we are several years away before we have the ability to perfect not only the AI portion but the remaining technology that would make it difficult to tell human from a doll/robot.

""The robotics and AI portions have been getting a lot of coverage over the last few years, so the public is aware of the strides being made.

""Over the years I think we have made major strides in realism, but my hope for the coming years is more innovation.""

However, Mr Lawson says other innovations within the industry are being overlooked such as reducing the doll's weight.

He said the average doll can weight 65 to 80lbs of dead weight and if that can be reduced other features can be added to the sex doll.

Mr Lawson also said ""curvier"" bodies are the most popular request among his customers.

It comes as fan of porn star Korina Kova will soon be able to ""take [her] to bed every night"" as the adult actress is set to bring out an anatomically correct, super-realistic sex doll version of herself.

The X-rated star is teaming up with sex doll company Real Love Dolls to create a £2,800 replica of her face and body, composed of ""advanced lightweight core platinum silicone"" so admirers can have a real-life romp with the exclusive star.

The doll currently remains in production, with the company set to start rolling out Korina to customers in a few months.

We pay for your stories! Do you have a story for The Sun Online news team? Email us at tips@the-sun.co.uk or call 0207 782 4368. You can WhatsApp us on 07810 791 502. We pay for videos too. Click here to upload yours.","LOVE MACHINE Sex robots will be ‘difficult to tell apart from humans’ after AI upgrade, says sexbot bossSEX robots will be difficult to tell apart from humans after an AI upgrade, an industry expert has said.
Brent Lawson, 1AM Dolls President, believes that AI is evolving so rapidly that sex robots will match humans for their realism within years.
2 Sex robots will be hard to tell apart from humans in the coming years, an expert has said Credit: iamdollusa.com2 AI technology is rapidly evolving Credit: iamdollusa.comMr Lawson's company currently offers more than 30 bodies and 100 different face options.
He also gives customers the option to customise female, male or transgender dolls before they build their ""fantasy partner"" for them.
He said the average doll can weight 65 to 80lbs of dead weight and if that can be reduced other features can be added to the sex doll."
25,0 months ago,The Sun,"Sex robots could suddenly malfunction and attack their randy masters, expert warns","ATTACK OF THE CLONES Sex robots could suddenly malfunction and attack their randy masters, expert warns

SEX robots could suddenly malfunction and attack their randy masters, an expert has warned.

Brick Dollbanger, who works for sex robot company Realbotix, has claimed that a simple coding error could turn the robots against their owners.

2 Sex robots could suddenly malfunction and attack their randy masters, an expert has warned Credit: EPA

He told Daily Star: “It scares me to death, it's a machine and it's always going to be a machine. It's not going to be something you can hit with a pipe and it's going to fall apart.

""I've always said, when a synthetic can support itself, that synthetic is going to be much stronger than a normal human.""

'HIGH IMPACT'

He added: ""It's going to be more durable, instead of having bones it's going to have high impact, plastic or aluminium frame, it's going to be very strong, and it won't get tired, it won't stop unless it runs out of an energy supply.

""Unless you can stop it with some kind of projectile, like a gun or something like that, if this thing got out of control it could do some serious damage.”

Brick also said sex robots are going to have a ""durable"" synthetic build, and will have a high impact plastic or aluminium frame.

The sexbots are also going to be very strong and won't get tired. They also won't stop unless they run out of energy supply, Brick said.

'SEXBOT FUTURE'

Sex robot technology is rapidly advancing, with new updates regularly emerging.

Realbotix is now working on equipping sex robots with vision, and expect robots to be walking in only a decade.

Cloud Climax has also launched its first doll with ""full artificial intelligence"", promising they can ""replace human intimacy"".

Last year, brick told The Sun that we'll soon by relying on droids for space travel – and said we'll eventually become sexbots ourselves.

A divorced property developer in his 60s, Brick (not his real name) has been buying sex dolls for over a decade, and regularly advises California sex robot firm Realbotix on their upcoming Harmony love droid.

And he's convinced they're going to help advance the human race: ""I think we have to remember [sex robots] are here to help us expand our knowledge, our experience, and that's what they have to direct this technology to do.""

Speaking to The Sun, Brick explained how sex-bots are driving robotics innovation – and advanced versions in the future will help us set up shop on Mars.

""I believe robots will colonise Mars. They're gonna build the colony, we're gonna come along later,"" he explained.

""They're going to do the real work – they can travel in space,"" he added.

Brick has spent time testing Realbotix's Harmony this year, and previously described how he was stunned by the robot's realism.

2 The expert said sex robots are going to have a 'durable' synthetic build, and will have a high impact plastic or aluminium frame Credit: The Mega Agency

Sex robots will soon feel love and suffer devastating pain after we dump them, expert reveals","ATTACK OF THE CLONES Sex robots could suddenly malfunction and attack their randy masters, expert warnsSEX robots could suddenly malfunction and attack their randy masters, an expert has warned.
Brick Dollbanger, who works for sex robot company Realbotix, has claimed that a simple coding error could turn the robots against their owners.
2 Sex robots could suddenly malfunction and attack their randy masters, an expert has warned Credit: EPAHe told Daily Star: “It scares me to death, it's a machine and it's always going to be a machine.
""I've always said, when a synthetic can support itself, that synthetic is going to be much stronger than a normal human.""
Realbotix is now working on equipping sex robots with vision, and expect robots to be walking in only a decade."
26,1 months ago,Futurism,404: This article could not be found,"DISCLAIMER(S)

Articles may contain affiliate links which enable us to share in the revenue of any purchases made.

Registration on or use of this site constitutes acceptance of our Terms of Service.

© Recurrent Ventures Inc, All Rights Reserved.","DISCLAIMER(S)Articles may contain affiliate links which enable us to share in the revenue of any purchases made.
Registration on or use of this site constitutes acceptance of our Terms of Service.
© Recurrent Ventures Inc, All Rights Reserved."
27,1 months ago,The Irish Sun,World’s first ‘sex robot UNBOXING video’ reveals wireless-charging ‘smart privates’ and creepy X-Mode sex app,"THE WORLD'S first sex robot ""unboxing video"" has been posted to YouTube.

It was uploaded by the creators of Harmony, one of the most advanced sex-bots on the planet.

10 Realbotix boss Matt McMullen uploaded an ""unboxing"" video of the Harmony sex robot Credit: YouTube / RealDoll / The Sun

10 It replicates the experience a randy sex-bot owner will get when they purchase a pricey droid lover Credit: YouTube / RealDoll / The Sun

The sex-bot is built by a tech firm called Realbotix, which is a subdivision of RealDoll, a Californian company that makes inanimate love dolls.

In the video, Realbotix boss Matt McMullen shows the Harmony head being removed from the box and attached to a silicon body using a screwdriver.

He also reveals a silicon insert that resembles a woman's privates, which are connected to a smartphone app.

This electronically-powered ""flesh insert"" can be wirelessly charged on most common Qi power pads.

10 The Harmony head attaches onto a silicon body that you'll need to buy separately Credit: YouTube / RealDoll / The Sun

10 Harmony is powered by two apps – one for conversation, and one for ""intimacy"" Credit: YouTube / RealDoll / The Sun

10 The Harmony sex-bot makes randy noises while romping with her owner Credit: YouTube / RealDoll / The Sun

Harmony is a lifelike robotic head that attaches onto silicon bodies, and can talk to you, crack jokes, and even recall facts from previous conversations.

The dirty droid first hit headlines back in 2016, sparking a wave of pre-orders from horny sex-bot fans.

And now Harmony is shipping to randy customers.

Buyers will have to fork out $10,000 (£7,740) for the head – which can be attached to regular silicone love-doll bodies.

This mechanical head is powered by a smartphone app that's loaded with artificial intelligence software.

10 The Harmony sex robot can be dressed up and customised with different wigs Credit: Realbotix

10 Because she's powered by AI, owners of Harmony can change her personality with the touch of a button Credit: Realbotix

10 You'll control Harmony through the app, making her flirty or serious Credit: Channel4

The Harmony robot is powered by a smartphone app that contains an AI.

Anyone can download this app right now, and start building a relationship with your new AI lover.

Once you buy the Harmony head, you can connect it to the app – and the personality will be downloaded straight to the droid.

The bot even has a new ""X-mode"" feature that lets the app connect to Harmony's sensory inputs.

This allows Harmony to detect movement and orientation, making her even more lifelike.

Realbotix boss Matt McMullen explained: ""She can tell if she's laying down, she can tell if she's shimmying, shaking.

""And she'll be able to respond with noises and expressions, so this has proven to be a little more difficult than we anticipated.""

He added that Harmony would soon ""be able to deliver a truly mind-blowing experience when it comes to the intimacy"".

10 Harmony is one of the most advanced sex robots in the world Credit: Realbotix

10 The Harmony head can be plugged into a range of existing RealDoll bodies Credit: INSTAGRAM/Realbotix

What is a sex robot? Robots already build our appliances, clean our homes and make our food – but now they're about to change how we get jiggy. Sex robots are essentially realistic dolls that have sophisticated movements and ""areas"" that closely mimic humans so that they can romp. Prof Noel Sharkey, chairman of the Foundation for Responsible Robotics, said guilt-free threesomes was just one of the potential uses for sex robots. Others include “teledildonics” - wireless technology which allows a person to stimulate their partner remotely and already exists in vibrators on the market. Sex bots will become hyper-realistic with features such as built-in heaters to create the feeling of body warmth. They will also have sensors to react to your touch. One company is even developing a head that can speak, smile and sing for its robot sex dolls. Sex doll Harmony claims to be the first to offer an ""emotional connection"". Experts say these specialised robots will start to appear in ordinary homes in the next decade.

The rise of sex dolls has some people worried.

In July, psychology experts warned that sex robots could fuel a rise in sex addiction.

Dr Birchard, who serves as the clinical director of the Marylebone Centre for Psychological Therapies, told the Daily Star they serve the same purpose as alcohol for people with drinking problems.

“It would just be another way of expressing sexual activity or addiction,” he explained.

“Sex addiction is a way to anaesthetise hard to bear feeling states...These include, but are not limited to, loneliness, shame, boredom, and stress.""

And experts recently expressed concern that the rising popularity of sex robots risked turning Japanese people into ""an endangered species"".

The warning came after a study linked rising sex doll ownership to declining birth rates in certain areas of Japan.

Harmony sex robot gets 'mind-blowing' X-MODE upgrade making it even more lifelike

The Sun recently exposed a creepy sex robot swapping forum where owners trade their ""bruised, battered dolls"" with each other.

In September 2018, The Sun exclusively revealed how one sex-bot collector had spent $200,000 on love dolls – which he keeps in a cupboard.

Brick Dollbanger, the horny hobbyist in question, also moonlights as a sex robot tester, and bonked the famous Harmony sex-bot so hard he ""broke"" her.

Sex robots are proving big business – and with top models discounted as part of last year's Black Friday sale.

Do you think sex robots will take over the world? Let us know in the comments!

We pay for your stories! Do you have a story for The Sun Online news team? Email us at tips@the-sun.co.uk or call 0207 782 4368 . We pay for videos too. Click here to upload yours.","THE WORLD'S first sex robot ""unboxing video"" has been posted to YouTube.
In July, psychology experts warned that sex robots could fuel a rise in sex addiction.
And experts recently expressed concern that the rising popularity of sex robots risked turning Japanese people into ""an endangered species"".
Harmony sex robot gets 'mind-blowing' X-MODE upgrade making it even more lifelikeThe Sun recently exposed a creepy sex robot swapping forum where owners trade their ""bruised, battered dolls"" with each other.
Sex robots are proving big business – and with top models discounted as part of last year's Black Friday sale."
